GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Fri Oct 21 12:42:48 MST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	objective	Q_evap	UA_gen	UA_rect	UA_abs	UA_cond	UA_evap	deltaT_gen	deltaT_rect	deltaT_abs	deltaT_cond	deltaT_evap	con1	con2	con3	con4	con5	mu	sum_g_barrier	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	1	-131.14638573198246	29.773590816999654	2.8653966391582264	0.21705392496267328	5.120168429707959	4.3383692365895	2.6395930948416706	6.850166198638533	7.75748389379379	2.7901356775366253	5.961734112595991	10.431411755762667	0.1	38.0	1.0	80.0	83.0	3.0	33.790931638327606	0.1	274.15	312.15	313.15	310.15	393.15	Initial point.
2	2	1	1	-133.20871176391358	32.75094989869962	3.2216646912604427	0.24124748125594733	5.695414582188146	4.825574823734703	2.9279353903531162	6.850166113922739	7.757485671353891	2.7901356292428545	5.834835940793823	10.253297266424681	0.11	38.0	1.0	80.0	83.0	3.0	33.48592062173799	0.11	274.15	312.15	313.15	310.15	393.15	Cost reduced     at m_rich+dm_rich.
3	2	2	1	-131.62420227808371	33.42490535254139	3.2293784146541133	0.24432345169261713	5.964804956590282	4.939335571139925	3.133659536022068	6.8500959018742265	7.761491417993398	2.5993611843209123	5.805571490066484	9.71657898092576	0.11	37.5	1.0	80.0	83.0	3.0	32.73309897518078	0.11	274.65	312.15	313.15	310.15	393.15	Cost not reduced at T_evap+dT_evap.
4	2	3	1	-134.82227259198237	32.07828564894442	3.2132629639130705	0.23806859113381762	5.440908598624746	4.712737338099584	2.7403821417217618	6.850176917699798	7.753632269458421	2.9891771782270666	5.8639995588525835	10.791009723441448	0.11	38.5	1.0	80.0	83.0	3.0	34.24799564767932	0.11	273.65	312.15	313.15	310.15	393.15	Cost reduced     at T_evap-dT_evap.
5	2	4	1	-133.16264920122805	31.639602935318447	3.2085494688568725	0.2604315023206998	5.235002993871544	4.274653750311484	2.6997231447333623	6.850078447386693	6.5902653381075424	3.198610475254725	6.384808160466491	10.81725300075442	0.11	39.0	0.5	80.0	83.0	3.0	33.84101542196987	0.11	273.65	312.65	313.15	310.15	393.15	Cost not reduced at T_cond+dT_cond.
6	2	5	1	-134.01518837630897	32.513971777652166	3.2175897125151898	0.23240875690035961	5.660807288848959	5.2104445339561325	2.780861140541067	6.850135983605185	8.091600763036183	2.7826629465781707	5.344393661845174	10.764945511154224	0.11	38.0	1.5	80.0	83.0	3.0	33.83373886621894	0.11	273.65	311.65	313.15	310.15	393.15	Cost not reduced at T_cond-dT_cond.
7	2	6	1	-137.36337252234364	32.07828564894442	3.2132629639130705	0.22438986420866053	5.440908598624746	4.724284808928637	2.7403821417217618	6.850176917699798	8.600665579578788	2.9891771782270666	5.86399955885264	10.791009723441448	0.11	38.5	1.5	79.5	83.0	3.0	35.09502895779974	0.11	273.65	312.15	313.65	310.15	393.15	Cost reduced     at T_rect+dT_rect.
8	2	7	1	-138.759675028436	31.490703733092758	3.20189554675508	0.22189483927591877	4.9276345019831735	4.627541032580143	2.6859380993524957	6.8500901707361095	8.599950844125203	3.591074498539342	5.889047667108173	10.826160584605589	0.11	38.5	1.5	79.5	82.5	3.0	35.756323765114416	0.11	273.65	312.15	313.65	310.65	393.15	Cost reduced     at T_abs_outlet+dT_abs_outlet.
9	2	8	1	-137.18460691973664	31.7934075336295	3.324978549248569	0.22426018113647736	5.017382110110757	4.677325154567796	2.713963875697109	6.350185260450132	8.599951022534867	3.4960660475883856	5.8761455029700755	10.808051961825583	0.11	38.5	1.5	80.0	83.0	3.0	35.130399795369044	0.11	273.65	312.15	313.65	310.65	393.65	Cost not reduced at T_gen_outlet+dT_gen_outlet.
10	2	9	1	-140.3370607053035	31.18542065535236	3.0876046567384736	0.21951440256504026	4.839293362277668	4.577451065951655	2.6577209092288503	7.35010045124352	8.59995065848733	3.6873496201098988	5.902055779551233	10.844423507258398	0.11	38.5	1.5	79.0	82.0	3.0	36.38388001665038	0.11	273.65	312.15	313.65	310.65	392.65	Cost reduced     at T_gen_outlet-dT_gen_outlet.
