GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:41:16 MST 2016

Main Iterations


Simulation Number	Main Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	312.15	313.15	310.15	393.15	Initial point.
9	2	1	-253.4108471040229	27.32448830202291	-226.086358802	-226.086358802	0.0	1.0	1.0	0.1	274.15	312.15	313.15	315.15	398.15	Global search reduced cost.
25	3	1	-258.17595976402293	27.32448830202291	-230.851471462	-230.851471462	0.0	1.0	1.0	0.1	274.15	312.15	318.15	315.15	398.15	Local search reduced cost.
34	4	1	-270.93617011173467	23.31914721073467	-247.617022901	-247.617022901	0.0	1.0	1.0	0.1	274.15	317.15	328.15	315.15	398.15	Global search reduced cost.
41	5	1	-281.706828578669	24.393517276669023	-257.313311302	-257.313311302	0.0	1.0	1.0	0.1	274.15	322.15	333.15	310.15	398.15	Global search reduced cost.
45	6	1	-283.2026036372871	19.913565592287107	-263.289038045	-263.289038045	0.0	1.0	1.0	0.1	274.15	327.15	333.15	310.15	398.15	Global search reduced cost.
51	7	1	-303.18988201897645	53.27314302097645	-249.916738998	-249.916738998	0.0	1.0	1.0	0.2	279.15	327.15	333.15	310.15	398.15	Global search reduced cost.
60	8	1	-317.61286384496407	75.50564915496408	-242.10721469	-242.10721469	0.0	1.0	1.0	0.3	279.15	322.15	333.15	315.15	398.15	Global search reduced cost.
71	9	1	-320.73142618811016	87.78896063311015	-232.942465555	-232.942465555	0.0	1.0	1.0	0.3	279.15	317.15	333.15	315.15	398.15	Global search reduced cost.
71	10	1	-320.73142618811016	87.78896063311015	-232.942465555	-232.942465555	0.0	1.0	1.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
84	1	2	-146.02457702186015	87.78896063311015	-58.23561638875	-232.942465555	0.0	0.25	4.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
84	2	2	-146.02457702186015	87.78896063311015	-58.23561638875	-232.942465555	0.0	0.25	4.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
95	1	3	-113.67145680588793	87.78896063311015	-25.882496172777778	-232.942465555	0.0	0.1111111111111111	9.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
95	2	3	-113.67145680588793	87.78896063311015	-25.882496172777778	-232.942465555	0.0	0.1111111111111111	9.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
106	1	4	-102.34786473029766	87.78896063311015	-14.5589040971875	-232.942465555	0.0	0.0625	16.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
106	2	4	-102.34786473029766	87.78896063311015	-14.5589040971875	-232.942465555	0.0	0.0625	16.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
118	1	5	-97.10665925531015	87.78896063311015	-9.3176986222	-232.942465555	0.0	0.04	25.0	0.3	279.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
124	2	5	-97.82243497252762	88.52726435684762	-9.29517061568	-232.379265392	0.0	0.04	25.0	0.3	279.15	316.8375	333.15	315.15	398.15	Global search reduced cost.
124	3	5	-97.82243497252762	88.52726435684762	-9.29517061568	-232.379265392	0.0	0.04	25.0	0.3	279.15	316.8375	333.15	315.15	398.15	Iteration step did not reduce cost. Maximum number of step reductions reached.
124	3	5	-97.82243497252762	88.52726435684762	-9.29517061568	-232.379265392	0.0	0.04	25.0	0.3	279.15	316.8375	333.15	315.15	398.15	Minimum point.
