GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:49:58 MST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	1	-240.8035066523886	10.434040247388594	-230.369466405	-230.369466405	0.0	1.0	1.0	0.1	274.15	322.15	323.15	320.15	393.15	Initial point.
2	2	1	1	-250.1928641037772	20.86808049477719	-229.324783609	-229.324783609	0.0	1.0	1.0	0.2	274.15	322.15	323.15	320.15	393.15	Cost reduced     at m_rich+dm_rich.
3	2	2	1	-251.2456446169615	33.11175598096151	-218.133888636	-218.133888636	0.0	1.0	1.0	0.2	279.15	322.15	323.15	320.15	393.15	Cost reduced     at T_evap+dT_evap.
4	2	3	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	279.15	327.15	323.15	320.15	393.15	Cost not reduced at T_cond+dT_cond.
5	2	4	1	-253.73044969458198	42.22280192758197	-211.507647767	-211.507647767	0.0	1.0	1.0	0.2	279.15	317.15	323.15	320.15	393.15	Cost reduced     at T_cond-dT_cond.
6	2	5	1	-257.94051541258193	42.22280192758197	-215.717713485	-215.717713485	0.0	1.0	1.0	0.2	279.15	317.15	328.15	320.15	393.15	Cost reduced     at T_rect+dT_rect.
7	2	6	1	-248.88395195007539	32.157716632075385	-216.726235318	-216.726235318	0.0	1.0	1.0	0.2	279.15	317.15	328.15	325.15	393.15	Cost not reduced at T_abs_outlet+dT_abs_outlet.
8	2	7	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	279.15	317.15	328.15	315.15	393.15	Cost not reduced at T_abs_outlet-dT_abs_outlet.
9	2	8	1	-267.20293775326786	48.199108506267855	-219.003829247	-219.003829247	0.0	1.0	1.0	0.2	279.15	317.15	328.15	320.15	398.15	Cost reduced     at T_gen_outlet+dT_gen_outlet.
9	2	9	1	-267.20293775326786	48.199108506267855	-219.003829247	-219.003829247	0.0	1.0	1.0	0.2	279.15	317.15	328.15	320.15	398.15	Global search reduced cost.
10	3	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	317.15	328.15	320.15	398.15	Cost not reduced at m_rich+dm_rich.
11	3	2	1	-245.56681272613392	24.099554253133928	-221.467258473	-221.467258473	0.0	1.0	1.0	0.1	279.15	317.15	328.15	320.15	398.15	Cost not reduced at m_rich-dm_rich.
